"Comment","Designator","Footprint","LCSC"
"0.1uF","C1,C3","Capacitor_SMD:C_0805_2012Metric","C49678"
"4.7uF","C4,C2","Capacitor_SMD:C_0805_2012Metric","C1779"
"10uF","C5,C6","Capacitor_SMD:C_0805_2012Metric","C15850"
"LED","D1,D2,D4,D3,D5,D7,D6","LED_SMD:LED_0805_2012Metric","C84256"
"Fuse","F1","TRA_KiCad_Footprints:3544-2_FuseHolder",
"MountingHole","H1,H2","MountingHole:MountingHole_3.2mm_M3",
"USB_B_Micro","J1","TRA_KiCad_Footprints:Molex-105017-0001-USBMicroB",
"Conn_01x01","J10","Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical",
"Conn_01x03","J11,J12,J4","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",
"Conn_01x04","J2","Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical",
"Vin","J5","TRA_KiCad_Footprints:1x02_ScrewTerminal_Phoenix",
"Screw_Terminal_01x08","J6","TRA_KiCad_Footprints:TerminalBlock_Phoenix_MKDS-1,5-8-5.08_1x08_P5.08mm_Horizontal",
"Conn_01x02","J7","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",
"Conn_01x02","J8,J9","Connector_JST:JST_XH_B02B-XH-A_1x02_P2.50mm_Vertical",
"IRLML6344TRPBF","Q1,Q3,Q2,Q4","Package_TO_SOT_SMD:SOT-23","C20917"
"10K","R2,R1,R13,R12,R11,R6,R14","Resistor_SMD:R_0805_2012Metric","C17414"
"1K","R3,R21","Resistor_SMD:R_0805_2012Metric","C17513"
"4.7K","R5,R4,R15,R19,R18,R20,R22,R16,R17","Resistor_SMD:R_0805_2012Metric","C17673"
"100","R7,R8,R9,R10","Resistor_SMD:R_0805_2012Metric","C17408"
"SW_SPST","SW2","TRA_KiCad_Footprints:2PinTactileButton",
"STM32F042F6Px","U1","Package_SO:TSSOP-20_4.4x6.5mm_P0.65mm","C81000"
"AP2127K-3.3","U2","Package_TO_SOT_SMD:SOT-23-5","C156285"
"74LVC1G17","U3","digikey-footprints:SOT-753","C6076"
